"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","ID: 7--管理员登录密码错误","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","207","ID: 1--管理员登录成功","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","8","ID: 11--修改不存在的用户状态失败","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","14","ID: 3--查询用户数据列表成功","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","7","ID: 4--添加一个用户，添加成功","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","4","ID: 9--使用无效token查询用户列表失败","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","6","ID: 8--不存在的用户登录失败","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","19","ID: 6--图片上传成功","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","10","ID: 12--未登录状态上传图片失败","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","6","ID: 5--修改用户状态，修改成功","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","6","ID: 10--缺少密码创建用户失败","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
"","7","ID: 2--未登录状态，查询用户列表失败","testcases","2026-08-14","passed","2026-08-14","TestRunner","test_runner","",""
